# 20130520
Q58255 tr Q256
Q8561870 bcl Q33284
Q8570048 pih Q33797
Q58251 az Q9292
Q8566298 ln Q36217
Q8559119 as Q29401
Q1975217 hy Q8785
Q8566347 lg Q33368
Q8572199 st Q34340
Q8561582 cr Q33390
Q199864 ro Q7913
Q4107346 vep Q32747
Q8561147 dsb Q13286
Q928808 dv Q32656
Q3913160 lmo Q33754
Q1058430 scn Q33973
Q848525 cy Q9309
Q571001 tpi Q34159
Q8571143 rmy Q13201
Q8562272 gd Q9314
Q3181422 kn Q33673
Q824297 mhr Q5040086
Q10000 nl Q7411
Q8565476 ki Q33587
Q877583 be Q9091
Q8558960 ang Q42365
Q846630 cdo Q36455
Q846871 br Q12107
Q177837 ja Q5287
Q8042979 fo Q25258
Q2732019 mi Q36451
Q8560590 ne Q33823
Q3025736 pdc Q22711
Q3568038 vls Q100103
Q1047851 nap Q33845
Q226150 os Q33968
Q45041 lez Q31746
Q155214 id Q9240
Q199913 he Q9288
Q6587084 lbe Q36206
Q8558731 ak Q28026
Q13231253 kbd Q33522
Q200180 vi Q9199
Q200183 simple Q1860
Q1116066 koi Q56318
Q175482 fi Q1412
Q8563136 got Q35722
Q8582589 wo Q34257
Q2998037 mn Q9246
Q714826 vo Q36986
Q3568061 ty Q34128
Q48952 fa Q9168
Q4210231 xal Q33634
Q2111591 zea Q237409
Q38288 diq Q10199
Q60856 ug Q13263
Q1148240 yo Q34311
Q848046 te Q8097
Q1190962 zh-yue Q9186
Q8571487 sg Q33954
Q3757068 ia Q35934
Q3568069 bat-smg Q213434
Q8570791 pi Q36727
Q8571840 sd Q33997
Q722243 sw Q7838
Q3181928 ext Q30007
Q2913253 ltg Q36212
Q1147071 an Q8765
Q1585232 fiu-vro Q32762
Q3486726 mr Q1571
Q12265494 pag Q33879
Q837615 ceb Q33239
Q13358221 pfl Q23014
Q2091593 bo Q34271
Q3432470 ss Q34014
Q3046353 pms Q15085
Q8566503 gv Q12175
Q1574617 nds-nl Q516137
Q8575385 tet Q34125
